Date,National Average of Total Rates,National Average of Total Market Demand Index
1/13/2014,2.18,20.44
1/20/2014,2.13,17.45
1/27/2014,2.11,15.6
2/3/2014,2.14,18.21
2/10/2014,2.15,19.49
2/17/2014,2.15,19.72
2/24/2014,2.19,22.39
3/3/2014,2.22,26.13
3/10/2014,2.25,28.16
3/17/2014,2.28,29.02
3/24/2014,2.28,27.12
3/31/2014,2.31,28.34
4/7/2014,2.3,27.02
4/14/2014,2.29,23.72
4/21/2014,2.29,22.83
4/28/2014,2.28,22.34
5/5/2014,2.33,21.66
5/12/2014,2.34,21.2
5/19/2014,2.35,23.45
5/26/2014,2.38,23.46
6/2/2014,2.4,25
6/9/2014,2.43,33.13
6/16/2014,2.42,29.06
6/23/2014,2.43,28.51
6/30/2014,2.48,29.61
7/7/2014,2.53,27.93
7/14/2014,2.45,25.37
7/21/2014,2.39,20.69
7/28/2014,2.37,18.98
8/4/2014,2.36,21.59
8/11/2014,2.38,22.5
8/18/2014,2.36,22.66
8/25/2014,2.37,23.02
9/1/2014,2.4,24.13
9/8/2014,2.38,21.99
9/15/2014,2.35,21.52
9/22/2014,2.32,19.63
9/29/2014,2.33,20.63
10/6/2014,2.34,21.18
10/13/2014,2.29,19.01
10/20/2014,2.27,17.44
10/27/2014,2.25,16.26
11/3/2014,2.25,16.21
11/10/2014,2.24,16.05
11/17/2014,2.25,16.37
11/24/2014,2.33,18.75
12/1/2014,2.4,19.24
12/8/2014,2.28,19.57
12/15/2014,2.21,16.33
12/22/2014,2.24,16.67
12/29/2014,2.35,16.07
1/5/2015,2.32,18.2
1/12/2015,2.2,18.36
1/19/2015,2.12,14.4
1/26/2015,2.07,10.88
2/2/2015,2.05,11.29
2/9/2015,2.03,12.3
2/16/2015,2,10.95
2/23/2015,2.03,10.6
3/2/2015,2.06,11.92
3/9/2015,2.09,13.07
3/16/2015,2.08,16.74
3/23/2015,2.08,15.31
3/30/2015,2.1,16.32
4/6/2015,2.12,16.45
4/13/2015,2.1,15.38
4/20/2015,2.09,15.01
4/27/2015,2.08,13.78
5/4/2015,2.11,14.67
5/11/2015,2.14,15.12
5/18/2015,2.17,16.08
5/25/2015,2.21,15.95
6/1/2015,2.19,16.14
6/8/2015,2.23,20.37
6/15/2015,2.21,16.58
6/22/2015,2.21,15.1
